"Date
of
Finan-
cial
Period
Before
Offer","Issue
Date",Day of Week,Issuer,Business Description,Nation,"Ticker
Symbol","Primary
Exchange
Where
Issuer's
Stock
Trades","Principal
Amount
($ mil)","Proceeds
Amt - in 
this Mkt
($ mil)","   Offer
   Price","Type
of
Security","Amt Filed - 
in this Mkt 
($ mil)","IPO
Flag
(Y/N)",VC Lead (Seed),Investment Bank (Lead Left),# of additional lead underwriters,Last Private Valuation,Total VC Funding Raised,Age of Firm,Total Revenues in Previous Year,"Total Revenues
Last Reported Fiscal Period in S-1
(US$ mil)",Selling and Marketing,Total Operating Expenses,Net Income,Net Income Margin,Long-Term Debt,"  Total
  Assets
  Before
   the
 Offering
  ($ mil)",Long Term Debt to Total Asset Ratio,"Market
Value
Before
Offer
($ mil)"," Market
 Value
  Pro
 Forma
 Offer
($ mil)","   Book
  Value
   Per
  Share","IPO:
Offer
Date","IPO
Flag
(Y/N)","% Change
Stock
Price
180 Days
After
Offer","  Stock
  Price
 180 Days
  After
  Offer"
9/30/12,10/2/12,,LifeLock Inc,Dvlp Internet software,United States,LOCK,New York,141.3,141.3,9,Common Shares,175,Yes,,Goldman Sachs,2,,,,,193.95,91.22,126.48,-4.26,-2.20%,49.8,284.1,17.53%,610.9,750.4,2.64,10/2/12,Yes,2.67,9.24
9/30/12,11/15/12,,Ruckus Wireless Inc,"Mnfr,whl Wi-Fi products",United States,RKUS,New York,126,126,15,Common Shares,100,Yes,,Goldman Sachs,1,,,,,120.02,32.66,66.08,4.19,3.49%,0,123.1,0.00%,"1,000.30","1,105.30",2.31,11/15/12,Yes,-15.47,12.68
6/30/13,7/18/13,,RetailMeNot Inc,Provide ecommerce services,United States,SALE,Nasdaq,190.909,190.9,21,Common Shares,230,Yes,,Morgan Stanley,2,,,,,144.69,40.67,99.19,25.99,17.96%,37.85,379.3,9.98%,958.9,"1,054.30",7.22,7/18/13,Yes,52.33,31.99
6/30/13,8/1/13,,Control4 Corp,Mnfr wired automation prods,United States,CTRL,Nasdaq,64,64,16,Common Shares,60,Yes,,Bank of America,1,,,,,109.51,20.18,53.51,-3.72,-3.40%,3.16,53.3,5.93%,289.5,363.1,4.19,8/1/13,Yes,45.75,23.32
6/30/13,8/6/13,,YuMe Inc,Pvd video advg tech services,United States,YUME,New York,46.125,46.1,9,Common Shares,65,Yes,,Citigroup,1,,,,,116.74,31.39,46.62,6.27,5.37%,0,83.2,0.00%,240.1,286.2,3.12,8/6/13,Yes,-22.11,7.01
9/30/13,10/1/13,,RE/MAX Holdings Inc,Pvd RE brokerage services,United States,RMAX,New York,220,220,22,Class A Shares,100,Yes,,Morgan Stanley,2,,,,,143.68,?,98.13,33.32,23.19%,223.33,252,88.62%,,222.4,23.94,10/1/13,Yes,31.05,28.83
7/31/13,10/15/13,,Veeva Systems Inc,"Dvlp CRM,content mgmt software",United States,VEEV,New York,260.9,260.9,20,Class A Shares,150,Yes,,Morgan Stanley,1,,,,,129.55,19.49,42.5,18.78,14.50%,4.45,112.6,3.95%,"2,250.60","2,484.20",2.18,10/15/13,Yes,9.5,21.9
9/30/13,2/13/14,,Inogen Inc,Mnfr respiratory equipment,United States,INGN,Nasdaq,70.588,70.6,16,Common Shares,86.3,Yes,,JP Morgan,0,,,,,48.58,?,23.12,0.56,1.15%,6.65,60.9,10.92%,232.3,288.8,,2/13/14,Yes,18.94,19.03
3/31/14,4/3/14,,GrubHub Inc,Pvd online food delivery svcs,United States,GRUB,New York,192.546,192.5,26,Common Shares,100,Yes,,Citigroup,1,,,,,137.1,37.35,122.25,6.75,4.92%,1.35,795.7,0.17%,"1,934.00","2,066.90",8.57,4/3/14,Yes,34.81,35.05
3/31/14,6/25/14,,GoPro Inc,Photographic and Photocopying Equipment Manufacturing,United States,GPRO,Nasdaq,427.2,427.2,24,Class A Shares,100,Yes,,JP Morgan,2,,,,,985.74,157.77,263.08,60.58,6.15%,53.32,354,15.06%,"2,741.80","3,019.50",0.38,6/25/14,Yes,156.42,61.54
